open,high,low,close,volume,symbol,date,ta
58.71,58.74,57.33,58.4,609807,ALE,2021-05-26,0
58.15,58.85,57.51,58.28,2321612,ALE,2021-05-27,0
58.5,58.83,57.6,58.5,1479511,ALE,2021-05-28,0
58.7,58.82,57.28,57.66,487814,ALE,2021-05-31,0
58.9,59.96,57.89,59.21,1177366,ALE,2021-06-01,0
59.4,59.74,59.0,59.18,886587,ALE,2021-06-02,0
59.0,59.26,57.5,58.77,964784,ALE,2021-06-04,0
58.4,59.44,58.25,59.05,893616,ALE,2021-06-07,0
59.02,61.18,58.27,59.25,1951969,ALE,2021-06-08,0
59.5,60.23,58.88,59.64,1522661,ALE,2021-06-09,0
60.0,60.2,58.1,58.4,1905139,ALE,2021-06-10,0
58.67,58.86,58.02,58.3,610146,ALE,2021-06-11,0
58.54,59.17,58.0,58.5,926802,ALE,2021-06-14,0
59.0,60.08,58.56,58.79,1258238,ALE,2021-06-15,0
57.74,59.95,57.58,59.8,699683,ALE,2021-06-16,0
59.8,61.04,58.51,59.09,2192885,ALE,2021-06-17,0
59.35,60.5,58.8,60.05,3250796,ALE,2021-06-18,0
60.18,60.18,58.78,59.4,606399,ALE,2021-06-21,0
59.9,59.9,57.1,58.25,1181990,ALE,2021-06-22,0
59.13,60.28,58.53,60.25,997942,ALE,2021-06-23,0
60.45,63.08,60.24,62.54,2490704,ALE,2021-06-24,0
62.55,64.48,62.33,64.2,2317301,ALE,2021-06-25,0
64.2,64.21,62.3,63.94,998415,ALE,2021-06-28,0
63.8,65.84,63.57,65.5,1725203,ALE,2021-06-29,0
65.9,67.28,65.15,65.62,2320583,ALE,2021-06-30,0
66.0,68.33,64.55,67.3,2059122,ALE,2021-07-01,0
67.25,68.95,66.0,67.68,1644793,ALE,2021-07-02,0
67.7,69.54,67.65,69.05,1713798,ALE,2021-07-05,0
69.25,69.91,69.0,69.91,1024144,ALE,2021-07-06,0
70.03,75.9,70.03,73.38,4404103,ALE,2021-07-07,0
73.19,74.25,71.38,71.82,1748032,ALE,2021-07-08,0
71.83,72.75,70.6,71.55,914559,ALE,2021-07-09,0
71.0,74.83,70.83,73.69,1377603,ALE,2021-07-12,0
73.99,74.25,72.51,72.68,1297777,ALE,2021-07-13,0
72.6,73.49,72.14,73.49,762177,ALE,2021-07-14,0
73.0,73.53,72.25,72.99,549774,ALE,2021-07-15,0
73.0,73.87,72.71,73.6,822218,ALE,2021-07-16,0
73.87,73.9,72.46,72.9,1217846,ALE,2021-07-19,0
72.26,74.32,72.2,73.9,936733,ALE,2021-07-20,0
73.8,74.78,73.0,73.15,1044873,ALE,2021-07-21,0
72.73,74.0,72.5,73.71,721542,ALE,2021-07-22,0
73.46,74.01,72.66,73.15,323216,ALE,2021-07-23,0
73.14,73.77,70.68,72.9,626559,ALE,2021-07-26,0
72.72,72.73,70.35,71.35,644794,ALE,2021-07-27,0
70.91,71.26,68.71,68.84,1876598,ALE,2021-07-28,0
68.59,70.24,67.57,67.75,1290815,ALE,2021-07-29,0
67.42,68.0,65.71,66.1,1757923,ALE,2021-07-30,0
