index,open,high,low,close,volume,symbol,date,ta
482,51.9336,51.9336,49.9766,51.7999,2558034.7770885,PKN,2020-12-11,0
484,51.8835,52.8535,50.3615,50.8967,1392835.9275228,PKN,2020-12-14,0
486,50.177,50.5452,49.3914,50.0935,1371549.0435362,PKN,2020-12-15,0
488,50.1436,51.4318,49.9433,50.2279,1198015.1332673,PKN,2020-12-16,0
490,50.445,50.9301,47.5848,48.923,2760363.1668351,PKN,2020-12-17,0
492,48.5048,49.7086,48.4213,48.9064,2380298.1155465,PKN,2020-12-18,0
494,48.0031,48.0698,44.758,45.8625,2514571.0682825,PKN,2020-12-21,0
496,45.946,47.25,45.3608,47.0497,1313418.3814653,PKN,2020-12-22,0
498,47.4512,48.5048,47.1165,48.0197,853598.9267197,PKN,2020-12-23,0
500,48.9731,50.1269,48.923,49.8431,991663.80126501,PKN,2020-12-28,0
502,50.177,51.0135,49.2068,49.5082,1016180.4193737,PKN,2020-12-29,0
504,49.5082,49.5918,48.17,48.2711,1736194.9025695,PKN,2020-12-30,0
506,49.2912,50.6963,49.0232,49.3246,1229397.4969569,PKN,2021-01-04,0
508,49.09,50.3281,48.5883,49.8431,1744441.0806698,PKN,2021-01-05,0
510,51.365,52.6022,50.8466,52.6022,2551715.2867502,PKN,2021-01-07,0
512,52.6866,54.3421,52.4687,53.5056,2421154.5936007,PKN,2021-01-08,0
514,53.5223,53.69,52.2683,53.0372,1427733.6713052,PKN,2021-01-11,0
516,53.5223,53.9405,52.1005,52.9036,1643847.0397061,PKN,2021-01-12,0
518,53.4221,53.4722,51.1137,51.2982,1459340.2272506,PKN,2021-01-13,0
520,51.0135,52.1005,50.3448,51.7999,1071586.6334219,PKN,2021-01-14,0
522,51.4151,51.5821,49.5751,50.2279,1530769.9284162,PKN,2021-01-15,0
524,50.01,51.6664,49.0066,51.5987,1402049.4326153,PKN,2021-01-18,0
526,52.1849,52.4352,50.5952,50.7297,949974.28396584,PKN,2021-01-19,0
528,50.7631,51.1814,49.8597,50.5786,1040130.2976682,PKN,2021-01-20,0
530,50.5952,51.097,49.8431,50.278,1139247.1734133,PKN,2021-01-21,0
532,49.7596,50.2613,48.5883,49.9098,1777079.8314175,PKN,2021-01-22,0
534,50.177,50.3615,48.0865,48.4213,1240485.3403507,PKN,2021-01-25,0
536,48.1366,49.8932,47.3177,49.0066,1287057.013881,PKN,2021-01-26,0
538,49.09,49.6585,47.5848,47.8361,1670104.8464007,PKN,2021-01-27,0
540,47.3343,48.9731,46.9996,48.5048,1536304.1768432,PKN,2021-01-28,0
542,48.0865,48.1533,46.8326,46.8493,3015463.2271158,PKN,2021-01-29,0
544,47.25,48.7218,47.0329,47.8194,1440809.6561758,PKN,2021-02-01,0
546,48.5215,49.7429,48.4213,49.3747,1403640.4010095,PKN,2021-02-02,0
548,49.5082,50.177,48.7052,49.2745,1010758.8360905,PKN,2021-02-03,0
550,50.177,50.6963,48.9064,48.9064,1319900.6103447,PKN,2021-02-04,0
552,49.4916,50.0768,48.9731,49.1234,876279.89960678,PKN,2021-02-05,0
554,49.692,50.3949,48.8396,50.1436,1700216.0286194,PKN,2021-02-08,0
556,50.2613,51.6154,49.525,50.5285,2218144.5228326,PKN,2021-02-09,0
558,50.8967,51.2648,49.1401,49.7086,1199018.8772756,PKN,2021-02-10,0
560,49.8431,50.3448,49.1735,49.7086,1117564.2543758,PKN,2021-02-11,0
